"Bi209Di", "Ce140Di", "Cs133Di", "Dy161Di", "Dy162Di", "Dy163Di", "Dy164Di", "Er166Di", "Er167Di", "Er168Di", "Er170Di", "Eu151Di", "Eu153Di", "Gd155Di", "Gd156Di", "Gd157Di", "Gd158Di", "Gd160Di", "Ho165Di", "I127Di", "In115Di", "Ir191Di", "Ir193Di", "La138Di", "La139Di", "Lu175Di", "Lu176Di", "Nd142Di", "Nd143Di", "Nd144Di", "Nd145Di", "Nd146Di", "Nd148Di", "Nd150Di", "Pm147Di", "Pr141Di", "Pt195Di", "Pt198Di", "Sm149Di", "Sm152Di", "Sm154Di", "Tb159Di", "Tm169Di", "Xe131Di", "Yb171Di", "Yb172Di", "Yb173Di", "Yb174Di"
0.796322,2.22358,0,0,0.319029,0.493707,0,0,0,0,0,0,0,0,0,1.14217,0,0,40.7701,0,0,3.76888,2.57148,6.01592,0,0,18.9169,0,0,0,0,0,0,0,0,18.2853,0,0,0,0,0,3.37094,0,0,0,0,0,0.151251
1.68623,0,0,0.249738,0,28.8765,0.87195,3.76499,0,0.402579,0.812595,0,0,0,0.465275,4.96632,0,0,41.4102,0,0.460724,5.06378,4.69395,5.55756,1.96383,0,29.5012,0.941944,0,10.7909,0,0,0.574505,0,0,38.6889,7.56084,2.33243,0,0.978744,0.683588,0,0,0,0,0,0,1.88414
10.5584,0,0,0.017431,3.64547,42.1687,0,2.2753,0,0,0,0,0,0.541565,2.83043,0,0.605137,0,115.881,0.731623,0,4.46515,1.19169,9.78491,0,0,16.3993,2.90862,0,2.66394,0,0,3.28942,0.62463,1.22496,25.6107,7.06689,2.00682,49.888,0,0,0,0.646321,0,0,0.052711,0,6.06928
113.55,0,0,0,0,20.2404,0,2.33702,0,0,0,0,0,0,0.153248,1.86034,0.668132,0.173191,37.7728,0,0,4.58451,18.0572,3.72043,0.568794,0,25.4687,8.16679,0,1.17941,0,0,0,0,0,49.7941,8.05651,2.00815,11.0118,1.30051,0,0,0.079523,0.144871,0,0,0,4.10736
18.4184,0.393932,0,0,0,4.79015,0,0.437293,0,0,0,0,0,0,0.617877,0.897775,1.41965,0,4.22021,0.769015,0,2.74507,1.11024,2.99734,0,0,11.9091,1.04112,0,0,0,0,0,0.014176,0,20.4139,0,0,6.65355,0,0,0,0,0,0,0,0,15.0123
1.80045,0.468556,0,0,0.200556,1.6072,0,0.913377,0,0,0,0,0,0,0,2.11374,0,0,130.872,0,4.57814,1.80819,1.27869,3.39372,0,0,18.3742,2.84756,0,2.15871,0,0,0,0,0,33.5774,0,1.95587,0,0,0,0,0.105379,2.63226,0,0.699738,0,5.54017
0,0,0,1.48483,0,1.06448,0,0,0,0.224487,49.2171,0.653252,0,0,0,5.2105,0,0,54.2646,0,2.73627,1.59755,2.26625,1.03822,0.045928,16.9255,3.01957,0,0,2.67243,29.5635,0.944208,0,0,0,90.1534,5.16674,2.601,27.3594,1.37516,0.81718,0,8.57711,0.934043,0,0.951342,0,0.203098
0,0,0,0,0,19.8139,0.280168,0,0,0,0,0,0,0,18.8109,0.961423,0,0,4.58241,0.654711,5.05504,1.68906,1.34316,18.5824,0,10.4395,0.367491,26.9676,0,0.541502,0,0,0.105535,0,0,110.859,6.50247,0,17.7623,0,0,0,44.9837,1.43931,0,0,1.75425,269.824
0.238469,0,0,2.4623,0,7.59757,0,0,0,0,0,0,0,0,0,1.27453,0,0,41.8808,0.407208,0.551081,4.75842,3.48331,1.20543,0,0,23.3194,0,0,10.1467,0,0,0,0,0,65.0809,1.40975,1.94469,0,0.691639,0.157492,1.9623,0,1.60978,0,0,0,0
2.72382,0,0,6.70599,9.11111,397.432,6.44402,0.808897,0,0,18.9502,0,0,0,0,5.40712,0.193815,0,14.0846,0,7.77442,1.58119,1.94492,13.6019,0,0.985141,12.1033,0.867089,0,22.0558,6.71583,0,0,0,0,150.057,0.053969,2.34859,2.11694,6.17068,0,0,8.53371,0.533839,0,0,0,4.86121
0,0,0,7.34735,1.30922,76.9185,4.17415,2.09654,0,0,0,0,0,0,3.23099,0,0,0,2.96946,0,0,1.58942,13.3131,10.7621,0,0,4.71339,1.18,1.49151,11.4734,0.040538,0,0,0,1.48534,20.6479,7.72811,2.0513,50.4744,0,0,0,0,0,0,0,0,1.15517
11.2859,0,0,2.28111,0,12.4008,0,2.53772,0,0,0,0,0,0,0,0,0,0.226552,125.301,0,0.155185,3.18534,1.90207,0,0,0,37.3864,8.70306,0,4.27693,0,0,0.943753,2.85135,0,34.5372,1.12141,0.560042,7.64543,0,0,0.839594,5.55068,0,0,0,0,0
7.72609,0,0,0,0,0.068059,0,0,0,0,0,1.75372,0,0,0,1.95661,0,0.015117,19.0481,0,0,1.27466,1.87492,6.17627,0,0.999497,56.0962,2.08995,0,3.43482,0,0.157901,0,0,0,31.3372,4.52252,5.09988,5.27042,2.34321,0.780763,0,0.970359,3.41792,0,0,0,5.08377
1.12944,0,0,0.238926,2.20305,0,0,0,0.858526,0,22.5723,0,0,0,0.236775,7.94127,0,0.941051,0.359749,1.27118,6.16452,1.32173,2.20087,11.6875,0.426872,2.39534,6.26789,0.47075,0,0.473999,1.52646,9.88366,0.81787,0,0,336.042,6.05927,4.72708,0.987428,7.99313,0,0.047758,2.97329,0.404211,0,0,0,15.2518
3.93684,2.65834,0,0,0,12.8525,1.59728,0,0,0,61.9045,0,0,0,0,0.649258,0,0,0,0,3.45749,1.82132,2.29755,14.8411,0,4.90875,55.3247,0,0.497497,4.66374,0,0.08659,0,0,0,239.425,2.02682,0.959502,24.271,9.5898,0.087681,1.28319,1.79396,0,0,0,0,0
0,0,0,1.53109,0,38.1757,0,0,0,0,3.32414,0,0,0.709548,0,2.44215,0,0,0,0.365152,0,1.30355,0.34792,5.3852,0,0,6.5686,0,0,2.59449,0,0,3.4786,2.75246,0,20.2196,3.26963,2.60838,62.5976,0,0.529926,0.196117,0,0.816225,0,0,0,0
1.58212,0,0,0,0,3.04683,0,0.607087,0,0.188074,0,0,0,0,0,1.86531,0,0,355.605,0,0,2.60826,4.16441,9.16979,0,0,42.8374,2.76559,1.43893,3.32828,0,0,0,0,0,14.9827,1.98518,0,0,0,0,3.0307,1.03317,0,0,0,0,0
150.08,0,0,42.6478,42.7464,149.95,10.4288,43.2,1.39093,6.9939,1.16421,0,0,1.50199,26.1042,5.21289,24.9667,20.2764,6.79732,8.48082,1.2262,2.82015,3.96073,76.5651,0,20.2823,50.5003,16.1938,5.63874,4.48355,5.56904,11.6503,10.2949,3.32854,0,89.0412,9.02148,1.71888,0,35.5539,14.8892,17.1557,19.3023,0,0,0,0,5.25962
2.17965,0,0,0.325469,2.05908,12.9873,0,0.670257,0,0,0,0,0,0,0,0,0,0.959947,510.589,0,0,2.23661,5.4108,2.21979,0,0,39.8338,2.83804,0,3.45237,0,1.94688,0,0.229699,0,11.076,3.21373,0,9.28306,0,0,0,0.099175,0,0.457898,0,0,2.38615
0,1.15761,0,3.45187,1.3294,85.4756,1.64646,0.714839,0,0,0.031997,0,0,0,0,6.70417,0.251757,0,0.900968,2.40292,0.49688,1.94879,1.98926,9.03799,0,1.47129,17.6961,4.43799,0,19.1146,0,0,0,5.13327,0,97.5168,7.98746,0,24.2056,0,0,1.48668,0.570113,0,0,0,0,61.6939
10.3959,0,0,0,0,13.3459,0,0,0.036391,0.459894,0,0,0,0,0.959954,0,0,0,118.656,0,0,4.84096,6.0613,0,0,0,17.3693,0,0,0.832164,0,0,0,0,0,15.4241,4.19563,0,6.53708,0,0,0.539531,1.33225,0,0,0,0,4.00643
1.40817,0,0,2.08826,2.94887,31.0239,0,3.57029,0,0,0,0,0,1.92529,0,1.21714,0,0,236.298,0.877108,0,1.82882,15.6418,4.03226,1.4278,0,33.2057,0.715994,0,2.97292,0,0,0,0,0,16.3867,1.65122,1.32767,16.303,0,1.43545,0.213698,1.93829,0,0,0,0,2.0062
1.36589,0,0,0.632648,0,17.97,0.757824,0.271434,0,0,0,0,0,0,0,0,0.858686,0,155.902,3.43004,0,3.75113,5.86736,2.63432,0,0,25.6073,0,0,0,0,0,0.313582,0,0,20.9572,6.26592,3.78152,15.9919,0,0,0,0,0,0,0,0,2.19187
1.92313,0,0,0.090706,0.380974,15.952,0.303829,0,0,0.287758,6.55254,0.246682,0,0,0,1.96812,0,0,0,0,0,1.64008,4.17232,1.76124,0,0.17509,2.43401,0,0,0,0.421068,0,0,0,0,21.8504,1.93263,0,0,0,0,0,12.1386,0,0,0,0,3.76073
0,0,0,0.736943,2.96466,3.58411,0.05776,0,0,0.123137,29.5229,0,0,0,0,1.08416,0,1.38423,8.52355,0,4.3993,1.338,4.54246,11.4236,1.9913,0,0,0,0,6.55118,0.332381,16.3118,0,0,0,311.141,0.938056,1.99116,8.28699,13.0883,0,2.30936,8.32053,0,0,0,0,0.647423
