"190BCKG","209Bi_CD11b","140Ce","133Cs","161Dy_CD274","163Dy_CXCR3","162Er_CD80","164Er_CX3CR1","166Er_CD34","167Er","168Er_CD206","170Er_CD3","151Eu","153Eu","Event_length","152Gd_CD45RO","154Gd_CD163","155Gd","156Gd","157Gd","158Gd_CD33","160Gd_CD14","165Ho_CD127","113In","115In_CD45_A","191Ir_DNA1","193Ir_DNA2","139La","175Lu","176Lu_CD56","142Nd_CD19","143Nd_CD64","144Nd","145Nd_CD4","146Nd_CD8A","148Nd_CD16","150Nd_CD275","208Pb","102Pd","104Pd","105Pd","106Pd","108Pd","110Pd","141Pr_CD45_B","194Pt_Cisplatin","195Pt_Cisplatin","103Rh","SampleID","147Sm_CD20","149Sm_CD66","120Sn","159Tb_CD11c","169Tm_CD25","131Xe","89Y","171Yb","172Yb","173Yb","174Yb_HLADR","Time"
0.000000,2.774827,1.146425,0.000000,0.004538,0.089288,0.000000,0.000000,62.561592,0.000000,0.000000,3.136436,0.000000,0.000000,10.000000,0.000000,1.531648,0.000000,0.000000,0.000000,0.470217,0.000000,0.000000,0.000000,0.000000,14.078521,47.942333,6.659231,0.000000,0.000000,1.266900,0.000000,0.000000,0.800346,0.000000,0.519019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.508275,206.561707,163.923248,0.000000,113399.320312,1.922227,155.508560,0.000000,0.358128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,149.032364,2578.259033
0.000000,0.214958,0.000000,2.498904,0.000000,0.191235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.403973,47.034962,2.773485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.508363,113.843575,117.048584,0.000000,108217.031250,0.000000,30.624699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2578.845459
0.000000,0.000000,0.000000,2.859508,0.000000,0.015760,0.000000,0.825643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.918724,38.806442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.634748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.032821,200.810562,234.330566,0.000000,106438.187500,0.000000,22.549534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2579.433350
1.856678,0.000000,0.000000,0.000000,0.276649,2.565963,0.618786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.026452,0.000000,0.000000,0.000000,0.000000,0.000000,0.208697,0.000000,0.000000,0.000000,4.603145,6.366896,1.190612,0.000000,1.321765,0.000000,0.930676,0.883380,0.000000,0.000000,0.000000,3.285197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.980700,139.991898,184.504425,0.000000,114365.695312,0.000000,124.178658,0.833679,0.000000,0.000000,0.000000,0.000000,0.000000,0.857389,0.571920,171.054642,2579.906982
0.000000,0.222166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,126.796776,0.068882,0.655359,0.000000,0.000000,0.000000,11.000000,0.030528,0.000000,0.000000,0.000000,0.874817,0.000000,0.000000,0.000000,0.000000,1.071794,11.517159,18.157991,1.950747,0.000000,0.000000,0.968635,0.723500,0.000000,0.897978,0.000000,1.649032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.251249,232.211090,261.672821,0.000000,99942.804688,0.648539,3.123982,1.836791,8.590165,0.562434,5.240951,0.000000,0.481852,0.938602,1.217483,135.632599,2583.201904
0.000000,0.964634,0.000000,0.865437,0.000000,1.055772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,0.657040,0.446333,0.000000,0.000000,0.000000,0.000000,0.000000,0.016315,0.000000,0.000000,36.018940,75.334496,2.982281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.603836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.763915,253.820496,285.317688,0.000000,109070.492188,0.000000,0.943431,0.000000,0.000000,0.000000,0.536556,0.000000,0.000000,0.000000,0.000000,0.000000,2583.282715
0.000000,0.206432,0.632554,1.419882,4.154585,0.267686,1.670239,3.792998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,67.417686,0.000000,0.000000,0.000000,0.000000,0.243921,0.000000,0.111337,0.000000,0.528183,7.796772,15.082376,1.436709,21.689531,0.000000,0.000000,0.997298,0.853926,3.014202,2.345406,4.182146,3.822652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.933912,5.478449,29.019529,0.000000,97935.265625,0.000000,167.383667,0.000000,825.121155,13.197665,0.000000,0.000000,0.835444,0.000000,8.214164,2007.918091,2584.598145
0.000000,0.417673,0.652901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,0.758807,0.000000,0.000000,0.000000,0.406837,0.000000,0.000000,0.000000,0.000000,12.974098,28.641172,1.979236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.135250,163.965012,174.927643,0.000000,104390.625000,0.000000,0.908163,0.000000,0.000000,0.000000,0.498361,0.000000,0.000000,0.000000,0.000000,0.000000,2587.791260
0.000000,1.035195,0.794999,0.000000,0.343501,0.000000,0.000000,0.000000,0.251590,0.000000,0.164623,0.000000,0.193357,0.000000,14.000000,0.000000,0.947692,0.000000,0.000000,0.000000,0.491342,0.000000,0.000000,0.000000,0.000000,42.891777,62.304428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.491057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.564492,301.296967,271.626526,0.000000,101365.226562,0.000000,30.995234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2589.768311
0.000000,0.000000,0.000000,0.939154,2.602187,1.881276,0.000000,1.755433,0.000000,0.000000,3.313228,0.965089,0.000000,0.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.254010,0.679401,0.000000,0.000000,4.872750,8.028543,1.627851,0.964630,0.951923,0.000000,0.000000,0.000000,0.000000,0.000000,1.075037,2.356780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.607541,180.762344,205.520554,0.000000,96384.945312,0.000000,24.912752,0.000000,5.384618,0.198671,0.000000,0.000000,0.000000,0.000000,0.000000,44.538509,2591.174805
