"CCR5","CD11b","CD11c","CD127","CD14","CD16","CD163","CD19","CD206","CD25","CD3","CD33","CD34","CD4","CD45RO","CD45_NORM","CD45_TUM","CD56","CD64","CD66","CD8","CD80","CD86","CX3CR1","CXCR3_CD183","Ce140Di","Cisplatin1","Cisplatin2","Cs133Di","DNA1","DNA2","Er167Di","Eu151Di","Eu153Di","Event_length","Gd155Di","Gd157Di","HLA-DR","I127Di","La138Di","La139Di","Nd150Di","PD1","PDL1_CD274","Pm147Di","SampleID","Yb171Di","Yb172Di","Yb173Di","cellType","e131Di","Time"
0.096873,2.781548,4.056257,2.850280,3.341491,0.000000,1.257365,0.000000,2.100652,4.971891,0.000000,1.868752,0.422669,0.359263,2.720646,0.000000,4.524590,1.644709,1.184665,1.188288,0.088483,1.946171,5.213169,0.270303,2.288824,0.126874,0.813123,0.000000,0.000000,0.531724,0.224642,0.000000,0.083902,0.000000,2.615433,0.821462,1.338676,5.982872,0.000000,3.095294,0.000000,0.000000,0.784863,4.835141,0.000000,10.385684,0.000000,0.755523,0.925310,86.000000,0.000000,5.654963
1.454668,3.435112,3.370791,1.612457,1.061080,1.177648,0.734876,0.336992,0.358477,2.684719,0.280459,0.351868,1.964306,0.491320,2.532774,0.000000,3.430937,1.755226,0.991994,0.636479,0.208941,2.354794,2.370414,0.334244,3.994703,0.081275,0.983715,0.277775,0.000000,0.328889,1.800312,0.290722,0.000000,0.000000,1.992836,0.000000,0.000000,2.841512,0.000000,1.250783,0.000000,0.730100,1.437962,1.993134,0.000000,10.247620,0.000000,0.000000,0.121691,27.000000,0.000000,5.695418
2.365852,4.053685,3.043978,2.115466,1.819696,1.316165,1.898669,1.618011,1.499209,3.386231,0.962424,1.946044,1.909864,1.075201,2.762677,0.351827,3.679309,2.558253,1.063328,0.209379,1.219784,3.163120,2.604271,1.820820,4.273037,0.007461,0.000000,0.000000,0.000000,0.247992,0.063325,0.009011,0.064972,0.000000,2.644121,0.013091,0.339539,2.488312,0.343003,1.007360,0.000000,0.237946,2.270358,2.975256,0.000000,10.371689,0.156409,0.000000,0.000000,27.000000,0.000000,5.698949
2.855808,2.334456,4.957775,0.000000,1.460318,0.000000,0.598178,0.032290,2.261107,4.611655,0.000000,2.595222,0.925081,0.367576,1.163901,0.300626,3.836818,3.442480,1.471934,0.000000,0.000000,1.957191,4.446352,0.886295,4.667819,0.000000,0.655187,0.000000,0.000000,0.587423,0.616015,0.040169,0.000000,0.000000,2.045028,0.408401,1.076683,5.795559,0.360192,2.302287,0.000000,0.000000,0.628331,5.232150,0.000000,10.274162,0.164424,0.033610,0.000000,61.000000,0.000000,5.699611
2.751034,3.022104,4.667214,3.200132,2.139496,0.000000,0.000000,0.717745,0.033352,2.846778,0.169889,2.588103,0.679758,1.004716,1.088195,0.000000,3.618069,2.392189,1.037421,3.121849,0.000000,2.396611,3.622540,0.252091,4.571420,0.000000,0.000000,0.000000,0.000000,0.289099,0.142321,0.000000,0.000000,0.000000,2.350926,0.000000,0.996987,5.582067,0.000000,1.690297,0.126086,0.000000,0.652435,4.215654,0.000000,10.160675,0.164169,0.000000,0.264392,26.000000,0.000000,5.730379
2.864760,0.208483,4.518658,1.785040,2.104423,0.177043,0.103381,0.014015,0.000000,3.914866,1.378268,0.995607,0.000000,0.000000,1.954563,0.549514,3.754028,2.412914,0.777248,2.342582,0.000000,2.632481,3.723708,0.904161,5.228658,0.000000,0.811206,0.000000,0.000000,0.508978,0.363041,0.000000,0.000000,0.000000,2.312438,0.000000,0.848681,5.966731,0.000000,1.013671,0.000000,0.000000,1.361509,1.484650,0.000000,10.129090,0.000000,0.915752,0.852857,74.000000,0.416063,5.784632
0.669210,3.356386,2.589219,1.505904,1.307902,1.108950,1.650898,0.493184,0.576614,1.764847,0.916011,0.395068,1.456224,0.694661,1.037277,0.000000,2.732413,1.133046,0.000000,1.358269,0.133411,1.597531,1.518059,0.929624,3.459604,0.000000,0.000000,0.063463,0.000000,0.623505,0.432509,0.000000,0.000000,0.000000,1.818447,0.000000,0.172695,2.084042,0.037255,1.638644,0.000000,0.000000,2.395478,2.397716,0.000000,10.190449,0.000000,0.000000,0.000000,27.000000,0.000000,5.815583
1.654845,1.889656,5.264932,0.000000,1.391967,0.000000,0.000000,0.216161,2.624436,3.983206,0.000000,2.657885,0.000000,1.297592,2.185346,0.000000,3.915949,1.549352,0.000000,3.331992,0.000000,1.899441,4.942181,0.613768,3.618619,0.000000,1.114275,0.000000,0.000000,0.682571,1.088120,0.700493,0.000000,0.000000,2.824903,0.434941,1.437145,5.361191,0.000000,2.608969,0.000000,0.504812,1.024634,1.505654,0.455509,10.366548,0.068658,1.421505,0.209705,102.000000,0.000000,5.837595
3.737825,0.629412,5.012433,0.030055,0.942076,0.000000,0.137694,0.416549,1.644574,6.658310,1.253511,2.328802,1.333146,1.963212,2.874321,0.472636,4.133617,2.398872,1.775209,0.000000,0.274209,2.374316,4.265166,1.361431,5.713996,0.000000,0.000000,0.354989,0.000000,0.408998,0.844963,0.000000,0.000000,0.122032,2.423792,0.718232,0.448012,5.193099,0.000000,2.678103,0.000000,0.327211,0.784051,4.302217,0.158608,10.114168,0.000000,0.787887,0.258417,61.000000,0.000000,5.864962
2.657667,0.000000,4.266111,0.085644,1.152355,0.000000,0.000000,0.000000,1.132876,0.003142,0.000000,2.114974,0.492517,0.066210,2.039928,0.158955,4.547021,1.722355,1.272317,0.524681,0.102792,1.785254,3.567848,0.402046,3.876789,0.000000,1.059733,0.000000,0.000000,0.438342,0.617057,0.143619,0.000000,0.000000,2.230814,0.000000,0.111677,4.577201,0.000000,1.694857,0.000000,0.000000,1.169755,3.808437,0.000000,10.337409,0.000000,1.139902,0.523812,104.000000,0.190939,5.894131
