"R_670_14-A", "R_780_60-A", "V_450_50-A", "YG_586_15-A", "YG_780_60-A", "B_710_50-A"
27.74,2000.2,140.18,2059.64,5689.64,2963.24
470.12,14686.9,8418.54,15855,2012.12,22892
308.06,2621.43,6075.04,23727,1492.48,14374.6
238.71,2196.57,411.08,2309.56,3735.6,6179.56
64.97,921.26,259.72,4089.8,3029.4,4097.16
173.74,6230.55,683.7,8578.68,1293.6,8368.36
457.71,3243.39,261.44,2775.08,5228.52,32476.3
195.64,962.14,4405.78,10625.1,2287.12,12153.9
675.25,4973.49,564.16,3253.36,1579.6,22527.2
428.51,5523.91,16659.9,21984.2,2418.24,19259.2
183.23,1614.76,4632.82,14029,2300.32,14530.4
508.08,7883.27,672.52,2823.04,2687.52,16304.3
64.24,1668.05,233.06,2010.8,4660.04,4319.08
943.89,8384.78,1554.02,8305,1759.56,51162.4
359.16,1672.43,1028.56,2891.68,1684.76,3643.44
50.37,1179.68,129,1735.8,3563.56,2001.84
137.24,1645.42,280.36,2566.52,4040.08,3740.72
102.93,1299.4,258,5891.6,624.36,4778.12
726.35,18042.7,5633.86,10300,2306.92,30513.2
218.27,1694.33,2992.8,18549.1,3878.6,24329.9
227.03,1255.6,1849.86,10748.8,1788.16,13455
167.17,2348.41,4604.44,13103.6,7001.72,14630.8
721.24,3616.42,1504.14,44111.3,1756.04,38516
216.81,1595.05,1084.46,8305.44,1366.64,9743.96
78.11,475.96,303.58,5083.76,1473.56,3896.52
125.56,803.73,148.78,2132.68,2196.48,2322.56
212.43,1495.77,1572.08,25260.4,2258.08,17736.9
305.14,4258.09,264.88,2502.72,1766.6,13034
307.33,2711.95,501.38,3351.92,2596.44,12176.7
11.68,1999.47,573.62,3455.76,6480.32,3792.4
278.86,1490.66,663.92,12279.1,1246.08,12679.1
5.11,1240.27,123.84,1853.28,4242.48,3203.4
129.94,1789.23,278.64,2157.32,2479.4,5871.76
96.36,1570.23,304.44,2170.08,3231.36,6196.28
64.97,516.11,124.7,2972.64,1682.56,2085.44
53.29,713.94,153.94,1824.68,2285.36,2045.16
185.42,1367.29,2538.72,10938.8,1686.96,10612.6
171.55,1203.77,172.86,1909.16,3742.64,4442.96
86.87,2635.3,333.68,3171.08,6499.68,5462.12
54.02,748.25,2088.08,8660.52,1883.2,7906.28
127.02,3337.56,221.02,2301.64,8206,13115.3
343.1,2857.95,4701.62,14979.8,3619,20260.8
163.52,3172.58,1011.36,4445.32,8143.52,6787.56
127.75,1432.99,301,5605.6,3727.24,6598.32
287.62,6845.94,499.66,8979.52,2316.16,16090
756.28,21178.8,12623.1,19920.6,3343.56,23068.3
468.66,16898,485.04,7245.04,1941.28,26945.8
368.65,2525.07,324.22,2597.76,7229.2,9578.28
508.81,1746.89,657.9,10569.2,1284.8,14615.6
681.09,8216.88,3697.14,7018,2155.12,41152.5
389.09,9817.04,411.94,2237.4,1171.28,9965.88
188.34,1388.46,4183.9,18070.8,3817.88,18383.6
110.96,1411.82,846.24,5960.68,921.8,4582.8
182.5,1420.58,514.28,16215.8,3105.52,13759
35.77,1797.26,268.32,1988.36,5877.08,3993.8
314.63,19109.9,399.04,4113.12,5909.64,9511.4
262.07,1747.62,6292.62,25719.8,5141.4,21017
120.45,1457.08,436.88,4351.6,1038.84,8236.12
479.61,1500.15,3903.54,20293.2,1391.72,16584.7
517.57,3409.83,9555.46,51077.8,5535.2,28698.4
254.77,1914.79,4091.02,10855.2,4562.8,13544.7
-119.72,493.48,122.98,3454.88,3012.68,3958.08
1692.14,6104.99,965.78,2549.36,1385.12,108047
61.32,454.79,1912.64,6151.2,808.72,5193.84
25.55,692.77,98.9,1670.68,2275.24,2046.68
167.9,662.11,3163.94,8662.72,1182.28,9620.08
220.46,2675.45,336.26,2551.56,7061.56,10288.9
115.34,2347.68,330.24,2771.56,6328.08,6591.48
159.87,1048.28,5061.1,18594,3460.6,11887.9
66.43,693.5,221.88,1934.68,1364.88,2570.32
286.89,2040.35,4009.32,20244,3285.48,20387.8
81.03,1837.41,174.58,1813.68,6010.84,4416.36
74.46,1159.24,356.9,2445.08,2841.52,4072.84
108.77,993.53,5032.72,10700.8,3011.8,11920.6
68.62,754.09,244.24,2410.32,2252.8,3435.2
152.57,1884.13,2520.66,16313,3393.72,14709
121.91,2551.35,301,2152.04,4787.64,7616.72
253.31,2552.08,2425.2,10380.5,4084.52,16610.6
281.05,10203.9,391.3,19419.8,1616.12,14153.5
22.63,1279.69,3378.94,9790.44,2133.12,6863.56
875.27,6746.66,3134.7,15158,2526.92,45859.9
48.18,986.96,190.06,1910.92,1927.64,4463.48
350.4,1840.33,4002.44,25137.2,5446.32,24272.9
122.64,1573.88,241.66,1913.12,2699.4,4098.68
152.57,1346.85,331.1,2592.04,3323.32,4637.52
-16.06,869.43,225.32,1858.12,2474.56,2251.12
294.92,2317.75,3786.58,29973.2,3456.64,24238.7
595.68,15311,544.38,9584.08,1832.6,14449.9
199.29,1854.2,432.58,2792.24,4506.48,5934.84
1411.82,5074.96,3216.4,12886.7,8719.92,109362
-56.21,21.17,106.64,2207.04,1918.84,192.28
48.91,1574.61,1076.72,3333.44,3790.6,3743
170.09,2043.27,1109.4,34266.3,1611.72,17506.6
98.55,786.94,823.02,2587.2,1526.8,4556.96
104.39,1363.64,3180.28,10741.3,3938.88,11284.5
43.8,549.69,99.76,1839.64,1863.4,1919.76
50.37,1150.48,78.26,2625.92,2794,5985
578.16,1560.74,5414.56,17181.6,1097.8,18263.6
21.17,630.72,140.18,1675.08,1767.48,1823.24
56.21,865.05,171.14,6248,1620.96,5788.16
600.06,9698.78,2878.42,23587.1,2899.6,19719
516.84,25398.9,712.08,8231.96,5585.36,17553
84.68,1441.02,388.72,2018.28,4374.04,5040.32
154.03,2996.65,442.9,2313.96,7674.48,8086.4
507.35,15970.2,3421.94,12885.4,2953.28,14822.3
207.32,1379.7,293.26,3809.96,1336.72,6563.36
177.39,1110.33,4593.26,15129.4,3380.52,15187.8
564.29,18463.2,6560.08,28307.4,3605.36,22131.2
64.97,451.87,147.06,2115.52,1819.84,2051.24
215.35,2914.89,268.32,2032.36,5027,10321.6
122.64,677.44,528.04,3118.28,1240.36,4195.96
103.66,791.32,151.36,2260.28,2502.28,3146.4
24.82,1589.21,129.86,2087.8,4877.4,2929.8
379.6,2349.87,1905.76,13732,2220.68,28379.9
77.38,1783.39,362.06,2084.28,4793.36,5889.24
44.53,2011.88,206.4,3088.36,5475.36,6401.48
56.94,1552.71,184.9,2143.24,4852.32,3104.6
27.74,1053.39,305.3,3841.2,3999.6,2802.12
225.57,5648.74,2798.44,9863.48,5945.28,9983.36
710.29,4906.33,597.7,3371.72,7830.68,30519.3
246.01,759.93,3032.36,16592.4,2248.4,16523.9
1067.26,24452.8,4521.02,19584.4,4539.04,24767.6
689.85,4582.21,449.78,2459.6,2180.64,41946.7
581.08,3395.23,610.6,8213.48,1814.56,22736.9
616.12,11812.1,674.24,4091.12,2538.8,32366.1
165.71,2201.68,359.48,2177.12,5781.6,6926.64
156.22,1159.97,798.94,9147.16,2984.96,8306.04
91.25,712.48,118.68,1632.84,2074.6,2813.52
14.6,1508.18,349.16,1995.84,4735.28,3739.2
-28.47,944.62,7875.02,21780.9,2046,14568.4
116.07,679.63,2143.98,10882.1,1469.6,6167.4
60.59,1711.85,146.2,2366.76,5608.68,3414.68
86.14,1728.64,371.52,3878.6,4202.88,4316.8
792.05,15587.7,700.9,3534.08,1862.96,39364.2
503.7,3693.8,359.48,2390.08,5116.32,30555
946.81,7897.87,3569.86,39747,3279.76,32481.6
193.45,1722.8,715.52,3404.28,1227.16,11230.5
137.97,1389.92,338.84,16538.3,4490.64,13353.2
159.87,3639.05,683.7,2859.12,9549.32,7947.32
153.3,2454.99,314.76,3416.6,5582.28,7413.8
232.14,3417.86,405.92,3366,8045.84,8952.04
52.56,1399.41,119.54,2311.32,2615.36,4464.24
201.48,1666.59,318.2,9759.2,3092.76,10830.8
101.47,3236.09,230.48,2123.88,6563.48,3860.04
746.06,3967.55,954.6,5230.72,1105.28,23142
91.98,1431.53,3346.26,11689,4025.12,12299.1
162.06,1699.44,320.78,8797.36,3076.48,8132.76
152.57,2853.57,230.48,2765.4,4981.68,10227.3
83.22,955.57,1950.48,5396.6,1181.84,6766.28
137.24,1405.98,208.12,2000.24,3636.6,2903.96
53.29,1015.43,220.16,1841.4,2387,3667
67.89,1873.91,291.54,3365.12,5108.4,4849.56
98.55,1489.2,3604.26,20661.1,4334.88,13965
152.57,2208.98,918.48,9068.84,2892.12,9354.84
194.18,2208.25,8090.02,18119.6,4020.72,17934.5
0,1454.16,224.46,1932.04,4224,2550.56
65.7,1504.53,231.34,2078.56,4164.6,2998.96
58.4,611.01,160.82,1798.72,1548.36,1614.24
82.49,1820.62,161.68,2172.72,5755.2,3398.72
226.3,3983.61,317.34,2135.76,8614.76,9975
158.41,1546.87,330.24,3402.52,3054.92,6450.12
367.19,10485.7,451.5,2260.28,1310.76,18687.6
66.43,2284.17,175.44,2422.2,6374.28,4934.68
67.16,1050.47,165.12,1867.36,3204.96,2858.36
46.72,3348.51,221.88,3206.28,9744.68,7049.76
160.6,1162.89,5899.6,14876.8,3350.6,13796.3
105.85,878.92,8299.86,9815.08,2111.12,8274.12
112.42,648.97,4853.84,11579.9,1697.52,7586.32
156.22,2385.64,232.2,2877.16,5776.32,6529.16
29.93,2137.44,165.98,2290.2,7091.48,2649.36
222.65,2662.31,281.22,3182.96,3864.96,12642.6
173.01,631.45,655.32,15621.8,1160.28,8413.2
141.62,3255.8,359.48,3455.76,10023.2,11772.4
468.66,18241.2,650.16,4472.6,3016.64,11137.8
73.73,167.17,126.42,1767.04,1188,709.08
499.32,2118.46,675.1,5560.72,1882.76,31533.9
138.7,840.23,231.34,2119.92,1783.76,3177.56
8.76,609.55,116.1,2060.52,1593.68,2105.2
244.55,4325.98,406.78,2562.12,5979.16,12890.4
105.12,1073.1,208.98,3349.28,2912.8,3500.56
206.59,7198.53,2300.5,9039.8,1555.84,9432.36
81.76,1511.83,225.32,1942.16,4391.2,5591.32
66.43,1338.09,216.72,2026.2,3505.04,2914.6
40.15,922.72,202.1,2456.08,3364.24,1994.24
122.64,1743.97,583.08,3445.64,4571.16,10987.3
8.03,1423.5,152.22,1832.16,5119.84,3181.36
81.76,872.35,607.16,3586,2422.64,2875.08
191.99,584,1042.32,7965.32,1426.92,7209.36
56.21,490.56,161.68,2183.72,1364.88,1881.76
70.08,1784.85,306.16,2164.36,4781.92,3502.84
246.74,1503.8,460.96,9419.96,3339.6,14008.3
10.95,953.38,153.94,1915.76,3064.16,2466.2
113.88,1357.8,1382.88,4495.48,3201.88,5476.56
39.42,1177.49,223.6,2146.32,2851.2,2836.32
94.9,1524.97,217.58,3194.4,4534.64,4309.2
-15.33,787.67,150.5,1785.52,2613.16,1750.28
29.2,1419.12,129.86,2283.6,4546.08,2920.68
464.28,2852.84,546.1,3048.32,764.72,15190.9
235.06,1570.23,1731.18,7127.56,1931.16,15295
98.55,1941.07,233.92,2601.28,4678.96,6196.28
52.56,1478.25,206.4,2055.68,4919.2,3401
27.74,613.93,1222.06,5869.16,1513.6,4925.56
724.89,5168.4,452.36,3895.76,5173.52,25437.2
27.01,1620.6,1098.22,9525.12,5016,6564.88
179.58,2061.52,5429.18,33733.9,4581.28,24018.3
36.5,591.3,668.22,2453.44,1888.48,3072.68
321.2,10664.6,594.26,2029.72,1064.8,5367.12
24.82,1766.6,252.84,2894.76,4690.4,4835.88
190.53,1350.5,423.98,2815.56,971.52,5213.6
417.56,16225,339.7,9640.4,2222,10877.9
7.3,457.71,364.64,4877.4,1565.96,5604.24
186.15,1543.22,479.88,2489.08,3369.52,8927.72
1036.6,8638.09,4233.78,21897.5,2736.8,30093.7
178.85,1764.41,5955.5,20261.1,5088.16,16524.7
178.85,4239.11,526.32,3356.76,2583.68,5765.36
469.39,3393.77,233.06,2448.16,3821.4,13266.6
289.08,1773.9,393.88,2101,3354.56,5680.24
539.47,3167.47,639.84,2203.08,3765.52,12928.4
56.94,1016.16,674.24,3033.36,2503.6,2961.72
642.4,2708.3,626.94,5722.64,686.4,11128.7
133.59,1098.65,4253.56,12920.2,3620.76,13784.1
124.1,1400.14,285.52,2314.4,4294.84,4042.44
1.46,1286.99,188.34,2855.6,4278.56,3451.16
1454.89,20993.3,1125.74,5227.2,2603.04,91710.7
85.41,1361.45,163.4,1778.92,2229.48,6174.24
286.16,2184.89,1564.34,23502.2,4102.12,19430.2
166.44,1053.39,3308.42,13404.2,2505.8,14183.9
107.31,862.86,691.44,2525.6,1221.44,2347.64
35.04,1325.68,116.1,1721.72,4642,2582.48
314.63,2480.54,350.88,2028.84,4551.36,13927.8
351.13,8806.72,458.38,2274.36,946.44,10090.5
110.96,1197.2,181.46,2378.64,4234.56,3096.24
185.42,1149.02,6592.76,11725.1,2705.12,11530.7
280.32,5578.66,422.26,2814.68,8256.16,16849.2
54.02,1743.24,213.28,3234.88,6476.36,3154
165.71,2617.05,301,2277.44,5261.96,7039.12
375.95,1638.12,2527.54,14277.1,3644.08,25990.5
190.53,3078.41,607.16,5264.6,850.08,6469.12
230.68,1615.49,5487.66,26197.6,4029.52,21263.3
212.43,3047.02,421.4,1903.44,4776.2,10915.1
159.14,1546.87,259.72,2305.16,3325.08,6491.16
202.94,2322.86,3893.22,14736.9,6209.28,19393.7
112.42,1568.04,326.8,2691.92,2463.56,5275.92
243.82,3458.74,449.78,1983.52,4970.24,13682.3
248.93,1895.08,329.38,1886.28,3419.68,10032.8
1133.69,4407.01,2142.26,3686.76,2242.24,56721.1
502.24,10666.8,836.78,4167.24,1591.04,15189.4
76.65,2708.3,333.68,4556.64,8338.88,6190.96
391.28,2522.15,2008.1,9948.84,1859.88,16953.3
82.49,1756.38,236.5,2789.6,5996.76,4917.2
215.35,1365.1,384.42,2210.12,2461.8,5206
668.68,3827.39,258.86,2164.8,6331.6,47913.4
1219.1,4257.36,440.32,6152.96,2547.16,72524.5
43.07,1029.3,166.84,2613.16,2912.36,2186.52
93.44,1864.42,297.56,2110.68,3796.32,6739.68
78.84,649.7,346.58,2011.24,2013,3479.28
203.67,1998.01,438.6,2780.36,5353.48,6537.52
629.26,3486.48,503.1,2748.68,4991.36,27133.5
140.89,1700.17,7236.04,13867,5394.4,11693.4
505.89,5550.19,690.58,12885.8,1494.24,26596.2
120.45,808.11,3227.58,9349.12,2449.48,7270.92
110.23,1008.13,369.8,3881.24,2087.36,3575.8
156.22,1733.02,6611.68,19858.1,4821.08,16093
339.45,2174.67,4787.62,7703.08,2879.36,12651.7
164.98,1418.39,6629.74,10924.8,3295.6,13560.7
185.42,1163.62,287.24,2124.32,1188.88,5342.04
58.4,1232.97,201.24,3280.64,4432.56,3710.32
669.41,1553.44,9801.42,49413.3,4430.36,25163.6
49.64,1169.46,118.68,2238.72,3899.72,2727.64
154.03,701.53,409.36,7911.64,793.76,6160.56
-2.19,516.11,246.82,3298.24,2403.72,2700.28
470.12,11224.5,1174.76,4942.96,1489.84,17983.1
700.07,11444.2,626.94,2978.8,1760.44,28765.2
84.68,1577.53,273.48,2220.68,4892.8,3879.04
424.13,930.75,6994.38,11223.1,2607,7682.08
157.68,2577.63,323.36,2733.72,4850.56,7138.68
175.93,1428.61,4468.56,19118,3735.6,14890.7
262.07,3456.55,1742.36,13140.6,1274.24,11944.2
397.12,3170.39,2123.34,7220.4,1248.72,15526.8
56.94,953.38,197.8,1826,2333.76,3089.4
505.89,14429.9,5125.6,18866.3,2302.96,17929.2
33.58,1619.87,219.3,2606.12,4547.84,3461.04
357.7,2192.92,693.16,4973.32,573.76,11541.4
314.63,7372.27,896.12,2608.32,969.32,9029.56
181.04,2237.45,3104.6,19736.6,3154.36,14906.6
630.72,3342.67,391.3,2132.68,5706.36,42472.6
389.82,9849.16,592.54,13575.3,1550.56,15690.2
24.82,2162.99,137.6,3438.16,4326.08,4556.2
466.47,11579.3,706.92,6548.08,1444.96,17502.8
286.89,2006.77,3728.96,11111.8,4236.32,21455.6
18.25,1884.13,77.4,2108.04,6534.44,3838.76
64.24,1137.34,275.2,3437.72,3026.32,3887.4
86.87,1230.05,1037.16,27482,3332.56,15289.7
200.02,2590.04,295.84,3168,5660.6,9243.88
321.93,1950.56,512.56,3967.04,1814.56,27013.4
44.53,1293.56,178.02,2491.28,3861.44,3572.76
81.76,2016.99,270.9,2028.4,6335.56,4640.56
68.62,1200.85,718.1,3017.52,2926.88,4051.56
92.71,1035.87,146.2,2165.68,3194.84,2556.64
50.37,1450.51,153.08,2103.64,5004.12,3394.92
0,646.05,155.66,1933.8,2043.36,1542.04
68.62,1361.45,210.7,3099.36,4099.92,5112.52
1185.52,5680.13,384.42,4303.2,1869.56,76953
122.64,1522.78,295.84,1984.84,3535.4,5356.48
